,Asiento,Grupo,Sexo,Tarea1,Tarea2,Tarea3,Tarea4,Tarea5,Tarea6,Asistencia,Conducta,Participacion,Proyecto1,Proyecto2,Examen,Autoevaluacion
0,0,A,F,4,7,6,9,5.4,5.3,9,6.3999999999999995,7.959999999999999,6.68,7.701999999999999,7.3946,7.184399999999999
1,1,A,F,8,7,6,8,5.4,6.5,7,6.000000000000001,6.6000000000000005,6.680000000000001,6.77,6.635000000000001,6.470000000000001
2,2,A,M,6,9,6,9,5.4,6.5,5,4.4,4.76,5.48,5.782,5.2586,5.000400000000001
3,3,A,F,3,9,6,8,5.4,5.6,6,4.3999999999999995,5.359999999999999,5.280000000000001,6.012,5.4676,5.1864
4,4,A,F,4,6,6,9,5.4,5.0,7,5.2,6.28,5.880000000000001,6.396,6.122800000000001,5.8992
5,5,A,F,1,9,7,8,6.200000000000001,5.0,8,5.2,6.88,6.040000000000001,7.016,6.556800000000001,6.235200000000001
6,6,A,M,4,5,6,8,5.4,4.7,7,5.2,6.28,5.880000000000001,6.166,6.053800000000001,5.8532
7,7,A,F,8,5,7,9,6.200000000000001,5.9,6,5.3999999999999995,5.76,6.640000000000001,6.022,6.0786,5.8804
8,8,A,M,6,6,6,9,5.4,5.6,5,4.4,4.76,5.48,5.3919999999999995,5.1415999999999995,4.9224000000000006
9,9,A,F,7,9,6,8,5.4,6.8,7,5.800000000000001,6.5200000000000005,6.48,6.944000000000001,6.587200000000001,6.380800000000001
10,10,A,M,1,9,9,9,7.800000000000001,5.0,9,5.8,7.719999999999999,7.16,7.703999999999999,7.419199999999999,7.0287999999999995
11,11,A,M,5,9,8,9,7.0,6.199999999999999,5,4.2,4.68,6.0,5.696,5.3488,5.0032
12,12,A,M,0,5,6,9,5.4,3.5,9,5.6,7.639999999999999,5.880000000000001,7.097999999999999,6.8134,6.5676
13,13,A,F,9,9,6,8,5.4,7.3999999999999995,5,5.0,5.0,6.08,5.94,5.606,5.404
14,14,A,F,6,5,9,8,7.800000000000001,5.3,8,6.2,7.28,7.760000000000001,6.926,7.245800000000001,6.981200000000001
15,15,A,F,7,9,9,9,7.800000000000001,6.8,6,5.2,5.68,7.160000000000001,6.4559999999999995,6.3248,5.9872000000000005
16,16,A,M,3,6,8,8,7.0,4.699999999999999,5,3.8000000000000003,4.5200000000000005,5.6000000000000005,5.034000000000001,4.950200000000001,4.622800000000001
17,17,A,M,9,7,6,8,5.4,6.8,7,6.2,6.680000000000001,6.880000000000001,6.856,6.760800000000001,6.6112
18,18,A,F,4,5,6,8,5.4,4.7,8,5.8,7.119999999999999,6.28,6.754,6.6701999999999995,6.482799999999999
