numero,fecha,nombre,latitud,longitud,prec,tmax,tmin,tmed,velvmax,velv,dirv,radg,humr
2,2018-05-01 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,30.00,8.20,20.56,17.40,9.01,163.10,429.81,33.47
2,2018-05-02 00:00:00,La Mirinda,22.24852778,-102.2517778,0.20,31.40,13.00,21.94,15.60,7.26,161.10,450.76,41.72
2,2018-05-03 00:00:00,La Mirinda,22.24852778,-102.2517778,0.60,31.20,13.90,20.05,20.30,4.49,159.70,349.13,64.67
2,2018-05-04 00:00:00,La Mirinda,22.24852778,-102.2517778,1.60,30.50,14.70,21.01,6.30,3.45,98.90,375.06,64.73
2,2018-05-05 00:00:00,La Mirinda,22.24852778,-102.2517778,2.80,29.40,13.50,19.72,9.70,3.52,12.70,442.23,71.00
2,2018-05-06 00:00:00,La Mirinda,22.24852778,-102.2517778,0.10,25.10,12.90,18.30,7.40,2.58,12.00,310.74,70.60
2,2018-05-07 00:00:00,La Mirinda,22.24852778,-102.2517778,6.20,26.20,10.10,17.01,57.80,8.20,61.70,307.01,75.58
2,2018-05-08 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,28.00,9.40,18.44,31.80,18.53,75.30,490.23,66.28
2,2018-05-09 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,31.00,10.70,20.54,73.80,18.69,158.80,504.86,50.82
2,2018-05-10 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,31.10,9.10,18.73,NULL,NULL,115.90,468.46,56.25
2,2018-05-11 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,30.30,9.20,19.57,NULL,NULL,151.20,429.59,50.44
2,2018-05-12 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,31.10,13.20,21.47,NULL,NULL,159.70,498.51,48.70
2,2018-05-13 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,30.20,12.90,20.56,NULL,NULL,162.10,377.27,54.18
2,2018-05-14 00:00:00,La Mirinda,22.24852778,-102.2517778,0.50,29.80,12.60,20.67,NULL,NULL,157.00,455.16,64.85
2,2018-05-15 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,32.20,11.30,20.75,NULL,NULL,153.40,476.92,63.41
2,2018-05-16 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,28.20,14.80,20.51,NULL,NULL,10.50,286.55,65.23
2,2018-05-17 00:00:00,La Mirinda,22.24852778,-102.2517778,0.10,29.70,12.50,20.35,NULL,NULL,87.90,334.46,59.96
2,2018-05-18 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,34.20,10.30,21.92,NULL,NULL,165.70,458.67,45.42
2,2018-05-19 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,31.90,8.60,21.19,NULL,NULL,158.90,504.87,33.31
2,2018-05-20 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,30.40,5.90,18.81,NULL,NULL,136.60,521.46,29.84
2,2018-05-21 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,30.30,4.30,19.15,71.70,27.24,122.20,502.97,33.61
2,2018-05-22 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,31.40,5.90,19.70,18.20,10.34,114.70,498.21,33.38
2,2018-05-23 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,31.40,6.30,20.22,16.30,9.91,111.50,483.60,37.19
2,2018-05-24 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,33.40,9.90,22.17,19.30,8.48,24.70,443.91,44.96
2,2018-05-25 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,33.30,12.90,22.49,14.20,7.88,12.00,435.50,46.66
2,2018-05-26 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,33.90,10.60,22.29,11.40,7.10,357.80,484.41,43.09
2,2018-05-27 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,35.30,8.80,22.67,11.10,6.40,20.20,492.28,35.62
2,2018-05-28 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,35.80,10.40,23.68,11.10,6.00,50.80,498.23,37.28
2,2018-05-29 00:00:00,La Mirinda,22.24852778,-102.2517778,0.50,33.20,12.10,22.73,21.40,6.85,121.10,355.83,44.81
2,2018-05-30 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,36.40,12.80,25.15,10.70,4.82,47.40,493.46,42.27
2,2018-05-31 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,35.90,12.50,25.62,12.30,4.76,37.20,457.80,30.52
2,2018-06-01 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,32.80,8.90,22.45,12.60,4.14,18.90,500.01,33.38
2,2018-06-02 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,31.40,10.60,21.78,18.60,4.80,22.40,499.49,42.33
2,2018-06-03 00:00:00,La Mirinda,22.24852778,-102.2517778,0.00,29.50,10.80,21.10,11.40,3.81,19.90,497.29,41.18
